"","Expedition 1
Whole Foods Gowanus (MS51),
October 7, 2016","WFC- Baseline
The WaterFront Center,
October 10, 2016","First Expedition
GHS ORS,
October 11, 2016","Day 7 Tarrytown
Tarrytown Boat Club,
October 12, 2016","EXPEDITION #1 7A
IS 281 Joe Gulino,
October 13, 2016","October Oyster Monitoring
IS 288 ORS,
October 13, 2016","APES CURTIS HS 1
CURTIS HS,
October 13, 2016","10/14/16 - Pier 26
Pier 26,
October 14, 2016","Yonkers Day 5
Science Barge,
October 15, 2016","2016-10-16 Monitoring
Katy's Cage on Brooklyn Barge,
October 16, 2016","10/17/16 - Pier 84
Pier 84,
October 17, 2016","PS 71 - McMurray Hall (East) Trip #1
SUNY Maritime McMurray Hall East,
October 17, 2016","Team Leaders
East Harlem,
October 19, 2016","Our first trip!
McKinney Oysters,
October 19, 2016","October Pier 40
Pier 40,
October 20, 2016"
Oyster Measurements (mm),,,,,,,,,,,,,,,
Substrate Shell #1,,,,,,,,,,,,,,,
Outer side photo,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/outer-substrates/2513da38cc2349afd261ae2bba868935.JPG,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/outer-substrates/273e6e05fd6da0213727c45042fc4eed.jpg,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/outer-substrates/9a9bf3794db045b981ebfe5f2bd30cfb.JPG,,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/outer-substrates/e173bfc299be327621895f28bbed297e.jpg,,,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/outer-substrates/44b3b72476d45e3e35bfa9b7b029b1af.jpg,,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/outer-substrates/9379c99b723902efc9696cf680f4d1ab.JPG,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/outer-substrates/7bc753bc940ea5c510d5ea78b74587b7.jpg,,,,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/outer-substrates/e8330ab7969ed74ee43234cfb6c47b21.jpg
Inner side photo,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/inner-substrateseeea32ebd8a7df9b94d5f372655091ac.JPG,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/inner-substratesa33de6cb854410c2c0b16774b22c41e2.jpg,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/inner-substrates7d2a6d2329a18ef825080554cfe42795.JPG,,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/inner-substrates9b12472309720987c7e681f506fa2759.jpg,,,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/inner-substratesae36d8f098a0e03f9f83ec882f668d09.jpg,,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/inner-substrates348acd10c22725462d2b8b3cceeac87d.JPG,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/inner-substrates26d2db35d9667bd97ec20332631d2c6b.jpg,,,,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/inner-substrates200bd615b5f215d16b12fa15ac7869c5.jpg
Set date,1/1/70,1/1/70,11/17/16,7/14/15,5/10/17,9/11/16,12/31/69,7/13/15,7/15/15,8/15/15,7/15/15,7/15/15,6/8/16,10/21/16,6/23/16
Source,"Muscongus Bay, Maine","Muscongus Bay, Maine",Wallabout Channel,"Muscongus Bay, Maine",MARINE BASE MARINA,"Muscongus Bay, Maine","Muscongus Bay, Maine","Muscongus Bay, Maine","Muscongus Bay, Maine","Muscongus Bay, Maine","Muscongus Bay, Maine","Muscongus Bay, Maine","Muscongus Bay, Maine","Tappan Zee, New York","Hudson River, New York"
Total number of live oysters at baseline,5,6,2,3,10,2,3,2,,2,,3,13,,25
Total mass of live oysters at baseline (g),,,45,,112,159,,,,,,,,,
Total number of live oysters on shell,3,6,2,3,12,2,3,1,3,0,2,1,13,7,16
Total mass of scrubbed substrate shell + oysters + tag (g),0,59,1.23,0,28,0,,55.6,0,0,33.1,0,60.06,0,0
Measurements (mm),"30.85,15.44,80.12","20,21,22,25,21,11","37,24","53,55,55","12,14,14,9,23,16,12,16,65,121,12,12","80,5.9","55.25,55.25,25.5",60,"59,64,40",,"51,40",54,"40.6,26.1,16.3,41.9,17,21.2,20.7,31.3,20.7,49.1,23.2,29,37.9","55,53,31,50,55,50,39","70,53.1,76.5,61,64.4,87.1,47,71,80.4,80,70.5,65.9,73,73.8,58,60.5"
Minimum size of live oysters (mm),15.44,11,24,53,9,5.9,25.5,60,40,0,40,54,16.3,31,47
Maximum size of live oysters (mm),80.12,25,37,55,121,80,55.25,60,64,0,51,54,49.1,55,87.1
Average size of live oysters (mm),42.13666666666666,20,30.5,54.333333333333336,27.166666666666668,42.95,45.333333333333336,60,54.333333333333336,0,45.5,54,28.846153846153843,47.57142857142857,68.26249999999999
Substrate Shell #2,,,,,,,,,,,,,,,
Outer side photo,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/outer-substrates/f03dea81396ae21daffc76ce00b54058.JPG,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/outer-substrates/dec992763021db3fe7cce957f7371cd0.jpg,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/outer-substrates/a95ba3540b9f8574b23d883fc3388da1.JPG,,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/outer-substrates/4aa12da8f535e48661d140e3fa4010ce.jpg,,,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/outer-substrates/2e6e4d526544f235a20a74001646629f.jpg,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/outer-substrates/ed42aef0daff9d8afdb68d364c788c82.jpg,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/outer-substrates/02954c8c4a552248aed9c5df589e0b0a.JPG,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/outer-substrates/a59bfcfe489464ae00d63b6e9e1a076c.jpg,,,,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/outer-substrates/cc3c5f2667b980f1d7a21643a80c44af.jpg
Inner side photo,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/inner-substratesafc2fd957330b9437f6162d566d495b2.JPG,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/inner-substrates324b879073caa85ccd16635300518176.jpg,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/inner-substrates66cb888dd2278983997258ddfa45e503.JPG,,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/inner-substratese7e0e958f5e363109aa33e4338d557ce.jpg,,,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/inner-substrates5012bae8ce264602cd79813058a2ed40.jpg,,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/inner-substratesf7d24c488df11c1acd3cb178abebaf7d.JPG,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/inner-substrates8214f06b0c98692964dc7204e1d6e133.jpg,,,,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/inner-substratesba4211912f08a1f188977618f4245143.jpg
Set date,1/1/70,1/1/70,11/18/16,7/14/15,,9/14/16,12/31/69,7/11/15,7/15/15,8/15/15,7/15/15,7/15/15,6/9/16,,
Source,"Muscongus Bay, Maine","Muscongus Bay, Maine",Wallabout Channel,"Muscongus Bay, Maine",,"Muscongus Bay, Maine","Muscongus Bay, Maine","Muscongus Bay, Maine","Muscongus Bay, Maine","Muscongus Bay, Maine","Muscongus Bay, Maine","Muscongus Bay, Maine","Muscongus Bay, Maine",,
Total number of live oysters at baseline,2,7,4,3,,0,3,,,2,,0,9,,
Total mass of live oysters at baseline (g),,,105,,,39.6,,,,,,,,,
Total number of live oysters on shell,1,7,4,3,6,0,3,0,4,2,2,0,8,3,15
Total mass of scrubbed substrate shell + oysters + tag (g),0,58,1.87,0,76,0,0,98.3,0,0,31.8,0,80,0,0
Measurements (mm),52.21,"19,15,20,45,30,43,21","40,35,48,35","35,35,34","124,14,102,52,88,55",,"40.1,45.4,37.5",,"44,43,40,39","39,38","50,50",,"56.5,70,55,47.1,35,19.3,35.5,21","29,24,48","54.8,61.5,72,72.4,55,34.2,71,59.5,33,51.4,34.3,70,101,44.5,69.4"
Minimum size of live oysters (mm),52.21,15,35,34,14,59,37.5,0,39,38,50,0,19.3,24,33
Maximum size of live oysters (mm),52.21,45,48,35,124,80,45.4,0,44,39,50,0,70,48,101
Average size of live oysters (mm),52.21,27.571428571428573,39.5,34.666666666666664,72.5,69.5,41,0,41.5,38.5,50,0,42.425000000000004,33.666666666666664,58.93333333333333
Substrate Shell #3,,,,,,,,,,,,,,,
Outer side photo,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/outer-substrates/f92ad0b185be3257441cf993d5e7995c.JPG,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/outer-substrates/b6180b50dfa9b6bf051691b9754a6082.jpg,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/outer-substrates/d2b76aceec6e82ae204185abd0d9f985.JPG,,,,,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/outer-substrates/52f765d10229bc4805170f61f83b81b8.jpg,,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/outer-substrates/07ce8e1d669b398fe64118015908dff1.JPG,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/outer-substrates/6c3bc7fef8f1cee8cfb4a4656fa5a777.jpg,,,,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/outer-substrates/0183cf837048e5325fa8539894e2e562.jpg
Inner side photo,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/inner-substratesdb51d15bb63997e8e27cacc7e2a5b1eb.JPG,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/inner-substratesa9db13a836935f783b5397ba7358de57.jpg,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/inner-substrates3f3ffcf3b98648edf099dba5288804bd.JPG,,,,,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/inner-substrates2f4de405f46a5b49bc04e01a67d3b4cb.jpg,,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/inner-substratesaecc86d9d27ea6b7e8be3bdabd058bd7.JPG,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/inner-substrates4fbb99a0deee1a00f6410e49861193d9.jpg,,,,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/inner-substratesc5ea09447a92bd3eefa6ca4294f14aac.jpg
Set date,1/1/70,1/1/70,11/18/16,7/14/15,,9/14/16,12/31/69,7/11/15,7/15/15,8/15/15,7/15/15,,6/9/16,10/21/16,
Source,"Muscongus Bay, Maine","Muscongus Bay, Maine",Wallabout Channel,"Muscongus Bay, Maine",,"Muscongus Bay, Maine","Muscongus Bay, Maine","Muscongus Bay, Maine","Muscongus Bay, Maine","Muscongus Bay, Maine","Muscongus Bay, Maine",,"Muscongus Bay, Maine","Tappan Zee, New York",
Total number of live oysters at baseline,2,16,6,6,,1,3,,,1,,,6,,
Total mass of live oysters at baseline (g),,,106,,,,,,,,,,,,
Total number of live oysters on shell,2,16,9,0,0,1,3,1,3,1,6,0,2,3,4
Total mass of scrubbed substrate shell + oysters + tag (g),0,125,2.08,0,0,0,0,59.2,0,0,105.8,0,30.36,0,0
Measurements (mm),"60.39,54.47","31,18,17,29,20,40,36,45,21,26,53,50,24,31,18,14","32,26,34,35,40,22,27,29,30",,,56,"40.1,45.4,37.5",61,"55,46,64",52,"54,44,47,38,45,43",,"29.5,19.6","61,53,49","91.1,60.2,62.05,65.65"
Minimum size of live oysters (mm),54.47,14,22,0,,56,37.5,61,46,52,38,0,19.6,49,60.2
Maximum size of live oysters (mm),60.39,53,40,0,,56,45.4,61,64,52,54,0,29.5,61,91.1
Average size of live oysters (mm),57.43,29.5625,30.555555555555557,0,,56,41,61,55,52,45.166666666666664,0,24.55,54.333333333333336,69.75
Substrate Shell #4,,,,,,,,,,,,,,,
Outer side photo,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/outer-substrates/c5e68b0279119e53656014fc3c9db208.JPG,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/outer-substrates/c9a47b4427b541747be0cd5c7469fc25.jpg,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/outer-substrates/383bb0da8f26d6a4b5bd88ea59ef4d7e.JPG,,,,,,,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/outer-substrates/7ae15765e24cf23337c7e4bc212f235a.JPG,,,,,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/outer-substrates/9bb11c4f7c4bc55a1750a4138ac7e63e.jpg
Inner side photo,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/inner-substratese6268a9b51983a39dcb45bd354511d9b.JPG,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/inner-substrates9a64b6d8c163fb24f60fbace92596fe1.jpg,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/inner-substrates6a6b0b49f6dd27ff5da7a23fa96b01ad.JPG,,,,,,,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/inner-substrates60d2e616f567dcc9191d927964ee9c77.JPG,,,,,
Set date,1/1/70,1/1/70,11/17/16,7/14/15,,2/2/17,12/31/69,7/11/15,7/15/15,8/15/15,7/15/15,,6/9/16,,
Source,"Muscongus Bay, Maine","Muscongus Bay, Maine",Wallabout Channel,"Muscongus Bay, Maine",,"Muscongus Bay, Maine","Muscongus Bay, Maine","Muscongus Bay, Maine","Muscongus Bay, Maine","Muscongus Bay, Maine","Muscongus Bay, Maine",,"Muscongus Bay, Maine",,
Total number of live oysters at baseline,2,14,4,3,,1,2,,,2,,,7,,
Total mass of live oysters at baseline (g),,,41,,,75.9,,,,,,,,,
Total number of live oysters on shell,2,14,10,3,0,1,2,2,9,2,0,0,3,4,5
Total mass of scrubbed substrate shell + oysters + tag (g),0,156,1.62,0,0,0,0,89.7,0,0,0,0,70,0,0
Measurements (mm),"61.51,43.61","11,40,22,38,64,66,30,27,45,44,47,38,55,26","43,20,12,35,22,25,30,20,26,19","46,40,42",,64,"35.32,42.5","51,66","43,54,40,51,47,56,52,35,40","52,39",,,"68,51,50","63,59,30,21","89.4,44,39.6,43.3,65.1"
Minimum size of live oysters (mm),43.61,11,12,40,,64,35.32,51,35,39,0,0,50,21,39.6
Maximum size of live oysters (mm),61.51,66,43,46,,64,42.5,66,56,52,0,0,68,63,89.4
Average size of live oysters (mm),52.56,39.5,25.2,42.666666666666664,,64,38.91,58.5,46.44444444444444,45.5,0,0,56.333333333333336,43.25,56.279999999999994
Substrate Shell #5,,,,,,,,,,,,,,,
Outer side photo,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/outer-substrates/caf14835e66190023fd25bec4c21e802.JPG,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/outer-substrates/f1780e107171b500330cca994acf8268.jpg,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/outer-substrates/2e2206e6ab372e1c712fa7eef1171902.JPG,,,,,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/outer-substrates/a1893cb28469509579ff68dc8712594e.jpg,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/outer-substrates/9f099fd2b9e4c6ae877189c309bc181f.jpg,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/outer-substrates/8a4cef3ea8b262d0bc516e885bdf7228.JPG,,,,,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/outer-substrates/79f6687ad1d69c33c72f0c5c90502063.jpg
Inner side photo,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/inner-substratese850f9ff716c6db4b54c777a3b21a542.JPG,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/inner-substratesa47438847e829b679954b9d6b450484d.jpg,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/inner-substrates86c0a40388ba065eec74d8b982cc53cc.JPG,,,,,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/inner-substrates1b25edc3dbca4afb0fefc211459beee4.jpg,,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/inner-substrates0aa415cd4d993bb417e0d2f24f823bb6.JPG,,,,,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/inner-substrates61039304790c193f50aa5db1b3d478db.jpg
Set date,1/1/70,1/1/70,11/19/16,7/20/16,,,12/31/69,7/12/15,7/15/15,8/15/15,8/2/16,,6/9/16,,
Source,"Muscongus Bay, Maine","Muscongus Bay, Maine",Wallabout Channel,"Muscongus Bay, Maine",,,"Muscongus Bay, Maine","Muscongus Bay, Maine","Muscongus Bay, Maine","Muscongus Bay, Maine",,,"Muscongus Bay, Maine",,
Total number of live oysters at baseline,5,12,3,,,,2,13,,5,,,9,,
Total mass of live oysters at baseline (g),,,23,,,,,,,,,,,,
Total number of live oysters on shell,2,12,2,0,0,0,2,3,13,4,0,0,5,7,5
Total mass of scrubbed substrate shell + oysters + tag (g),0,96,2.06,0,0,0,0,80.9,0,0,0,0,71.5,0,0
Measurements (mm),"52.08,60.89","45,27,14,17,41,65,23,13,24,24,61,25","22.5,27",,,,"43.4,37.6","60,60,55","63,54,45,44,44,58,33,60,55,51,61,42,44","26,47,34,31",,,"57,41,43,46,30","62,45,21,71,42,30,60","68,68,36.4,74,78.5"
Minimum size of live oysters (mm),52.08,13,22.5,0,,,37.6,55,33,26,0,0,30,21,36.4
Maximum size of live oysters (mm),60.89,65,27,0,,,43.4,60,63,47,0,0,57,71,78.5
Average size of live oysters (mm),56.485,31.583333333333332,24.75,0,,,40.5,58.333333333333336,50.30769230769231,34.5,0,0,43.4,47.285714285714285,64.97999999999999
Substrate Shell #6,,,,,,,,,,,,,,,
